编号,性别,年龄,参数1,参数2,参数3,入股时间,参数4,股票,参数5,参数6
417581,Female,17,1,10,1,< 1 Year,No,12754,1064,2533
447790,Male,68,1,10,0,1-2 Year,No,1315,868,3604
217396,Male,16,1,13,1,< 1 Year,No,10786.5,1064,4471
628492,Female,46,1,55,1,1-2 Year,No,1315,868,4675
673359,Male,18,1,37,1,< 1 Year,No,13431.5,1064,4726
679708,Female,44,1,35,0,1-2 Year,Yes,27098.5,182,2805
246311,Male,33,1,35,1,1-2 Year,No,23656.5,182,4182
492392,Female,18,1,19,1,< 1 Year,No,14870.5,1064,2227
221323,Female,16,1,37,1,< 1 Year,No,12784.5,1064,3298
435449,Male,15,1,22,1,< 1 Year,No,16191,1064,340
299163,Male,14,1,53,1,< 1 Year,No,1315,1120,612
502478,Male,20,1,22,0,< 1 Year,Yes,1315,1120,1513
412682,Male,44,1,15,0,1-2 Year,Yes,18738,28,3672
492651,Female,13,1,29,0,< 1 Year,Yes,14196.5,1120,2584
366568,Male,40,1,35,0,1-2 Year,Yes,19720.5,182,2346
683336,Female,20,1,37,1,< 1 Year,No,13133,1064,2805
582814,Male,67,1,35,1,1-2 Year,No,16504.5,182,3519
563829,Male,32,1,35,1,1-2 Year,No,14269.5,182,1581
547564,Male,38,1,35,0,1-2 Year,Yes,22131.5,868,1343
665843,Female,17,1,48,1,< 1 Year,No,15793.5,1120,391
400862,Male,45,1,43,0,1-2 Year,Yes,15943,182,3519
427277,Female,36,1,35,1,1-2 Year,No,19036,854,2907
310065,Female,55,1,35,0,> 2 Years,Yes,22038,868,3910
625477,Male,26,1,13,1,< 1 Year,No,12622.5,1064,3604
610599,Female,27,1,53,0,1-2 Year,Yes,14869.5,868,1156
297676,Female,17,1,53,1,< 1 Year,No,11229.5,1064,2890
240868,Male,46,1,35,0,1-2 Year,Yes,25332,28,3043
360444,Female,44,1,8,0,1-2 Year,Yes,1315,1064,4556
598996,Female,35,1,35,0,1-2 Year,Yes,17443.5,868,2414
271909,Male,52,1,15,0,1-2 Year,Yes,16447,868,3723
327263,Male,47,1,35,0,1-2 Year,Yes,18410.5,182,1836
222181,Female,16,1,53,1,< 1 Year,No,10536,1064,1649
309712,Female,20,1,36,1,< 1 Year,No,15408,1064,5049
372018,Male,19,1,48,1,< 1 Year,No,15494,1064,4199
242495,Female,15,1,53,1,< 1 Year,No,18947.5,1064,3468
265253,Male,14,1,15,1,< 1 Year,Yes,1315,1064,4675
237287,Male,24,1,53,0,1-2 Year,Yes,14726.5,868,697
415444,Male,20,1,20,0,< 1 Year,Yes,14903.5,1064,2091
689103,Female,40,1,35,1,1-2 Year,No,12143.5,364,1309
290758,Female,26,1,35,1,< 1 Year,No,22182,1064,3264
219205,Male,32,1,15,0,1-2 Year,Yes,13965,1078,1904
692902,Female,43,1,35,0,> 2 Years,Yes,27463,868,4930
453881,Female,15,1,30,0,< 1 Year,Yes,11397,1064,1377
696558,Female,18,1,30,1,< 1 Year,No,1315,1064,646
249353,Male,18,1,43,1,< 1 Year,No,16406.5,1064,1802
637597,Female,38,1,36,0,1-2 Year,Yes,14001.5,1078,1241
403901,Female,27,1,54,1,1-2 Year,No,10109.5,1064,4012
467512,Male,46,1,35,0,1-2 Year,Yes,18117.5,182,3264
270038,Female,58,1,55,1,1-2 Year,No,1315,868,2431
452897,Male,58,1,35,1,1-2 Year,No,28602.5,182,4046
279790,Female,15,1,53,1,< 1 Year,No,19310,1064,2567
533162,Male,39,1,15,0,1-2 Year,Yes,16163.5,868,289
250832,Male,50,1,35,0,1-2 Year,Yes,26748.5,182,2958
452667,Female,17,1,16,1,< 1 Year,No,19220.5,1064,4828
648977,Male,18,1,37,1,< 1 Year,No,16830,1064,476
577485,Male,17,1,15,1,< 1 Year,No,16782.5,1064,816
634763,Male,17,1,15,1,< 1 Year,No,23603.5,1064,4743
484825,Female,18,1,42,1,< 1 Year,No,18755.5,1064,4046
475167,Female,19,1,41,0,< 1 Year,Yes,1315,1064,3213
470506,Male,39,1,48,0,1-2 Year,Yes,15275,868,2890
263409,Male,42,1,55,0,1-2 Year,Yes,1315,105,3791
384195,Male,15,1,56,1,< 1 Year,No,18911.5,1064,1394
445346,Male,46,1,35,0,1-2 Year,Yes,21164.5,182,1445
414949,Male,33,1,15,0,1-2 Year,Yes,19933.5,49,833
375889,Male,30,1,15,0,1-2 Year,Yes,1315,182,3247
537468,Male,30,1,15,0,1-2 Year,Yes,24831.5,868,4998
212771,Male,46,1,53,1,1-2 Year,No,15104.5,868,2805
394664,Male,17,1,13,1,< 1 Year,No,13003,1064,1598
521832,Female,18,1,21,1,< 1 Year,No,12307.5,1064,3417
512490,Female,42,1,53,1,1-2 Year,No,1315,77,3927
672453,Male,18,1,35,1,< 1 Year,No,18701.5,1064,2703
564400,Male,28,1,18,0,1-2 Year,Yes,19233.5,1141,3859
205175,Female,32,1,57,1,1-2 Year,No,12309.5,868,4726
421689,Male,27,1,35,0,1-2 Year,Yes,20445.5,868,799
290638,Male,18,1,54,0,< 1 Year,Yes,12209,1064,4386
245059,Female,53,1,53,0,1-2 Year,Yes,21489,182,1411
213381,Male,38,1,35,0,1-2 Year,Yes,20449,182,1717
545582,Female,21,1,37,1,< 1 Year,No,11346,1064,2618
432681,Male,45,1,15,0,> 2 Years,Yes,26731,1085,3604
424500,Male,26,1,14,1,< 1 Year,No,1315,1064,3485
475123,Female,26,1,35,1,1-2 Year,No,1315,868,4590
656921,Male,25,1,48,1,1-2 Year,No,15099.5,868,4403
269073,Female,56,1,22,0,1-2 Year,Yes,19233,182,2193
206410,Male,28,1,48,0,1-2 Year,Yes,21391.5,868,527
251850,Female,15,1,23,0,< 1 Year,Yes,18435.5,1064,3978
447139,Male,71,1,35,0,1-2 Year,Yes,13311.5,364,1904
529345,Female,70,1,35,0,1-2 Year,Yes,18434,868,4403
546847,Female,25,1,33,1,< 1 Year,No,1315,1064,1853
209120,Female,17,1,35,0,< 1 Year,Yes,19161.5,182,1003
218853,Female,16,1,37,1,< 1 Year,No,14130,1064,3842
363458,Male,24,1,28,1,< 1 Year,No,23558.5,1064,731
339886,Female,19,1,43,1,< 1 Year,No,19551,1064,1326
661863,Female,16,1,53,1,< 1 Year,No,11776.5,1064,2720
490464,Female,38,1,35,0,1-2 Year,Yes,16900.5,868,2924
512263,Female,35,1,37,1,1-2 Year,No,1315,1064,1258
555308,Male,26,1,35,0,< 1 Year,No,14433.5,1064,4114
428181,Male,13,1,44,0,< 1 Year,Yes,1315,1092,4590
518931,Female,46,1,55,0,1-2 Year,Yes,1315,868,4879
338534,Female,22,1,48,0,1-2 Year,Yes,14678,868,4998
657509,Male,45,1,35,1,1-2 Year,No,32189,182,2295
486264,Male,52,1,53,0,1-2 Year,No,18233,182,1224
516759,Male,35,1,35,0,1-2 Year,Yes,12635.5,1078,4267
397961,Female,50,1,16,0,1-2 Year,Yes,1315,868,1275
475113,Male,44,1,35,0,> 2 Years,Yes,19052.5,182,1819
633752,Male,17,1,57,1,< 1 Year,No,17875,1064,1003
483731,Male,42,1,13,0,1-2 Year,Yes,15953.5,868,4437
568243,Female,14,1,19,0,< 1 Year,Yes,12924,1064,1887
501527,Female,18,1,48,1,< 1 Year,Yes,12505.5,1064,1734
439449,Male,18,1,43,1,< 1 Year,No,13782.5,1064,3604
652034,Male,38,1,35,1,1-2 Year,No,19964.5,182,3366
383897,Female,16,1,37,1,< 1 Year,No,13344.5,1064,1411
695008,Female,44,1,35,0,> 2 Years,Yes,31612.5,182,4913
370456,Female,18,1,32,1,< 1 Year,No,14138.5,1064,3876
569582,Female,25,1,48,0,1-2 Year,Yes,1315,1099,1802
574839,Female,17,1,17,0,< 1 Year,Yes,1315,1064,5049
674253,Female,43,1,15,0,1-2 Year,Yes,1315,1099,4641
393616,Male,22,1,28,1,< 1 Year,No,16366,1064,2244
215704,Male,42,1,35,0,1-2 Year,Yes,11975,182,4811
299182,Female,64,1,22,1,1-2 Year,No,14204,1064,1258
528367,Female,64,1,35,0,1-2 Year,Yes,1315,182,357
428763,Female,33,1,11,1,1-2 Year,No,18138.5,1064,3621
517490,Male,30,1,10,0,1-2 Year,Yes,17327.5,868,1003
366418,Male,29,1,31,1,1-2 Year,Yes,18719.5,868,663
445229,Male,21,1,25,0,< 1 Year,Yes,1315,1092,4709
402300,Female,53,1,10,1,1-2 Year,No,10739.5,868,1088
435746,Female,17,1,46,0,< 1 Year,Yes,16894,182,4097
634613,Female,15,1,15,1,< 1 Year,No,23029.5,1064,2839
564490,Male,43,1,35,0,1-2 Year,Yes,19822,182,1700
369889,Female,15,1,51,1,< 1 Year,No,20659.5,1064,3502
496095,Male,32,1,35,0,1-2 Year,Yes,17513,182,1615
331924,Male,45,1,35,0,1-2 Year,Yes,15570.5,182,2380
218864,Female,64,1,15,1,1-2 Year,No,1315,49,1819
427463,Male,45,1,46,0,1-2 Year,Yes,15144,182,1853
464822,Male,36,1,15,0,1-2 Year,Yes,1315,868,2295
486659,Male,39,1,35,0,1-2 Year,Yes,19727,868,2261
463623,Male,16,1,15,1,< 1 Year,No,22045.5,1064,3570
464604,Female,38,1,35,0,1-2 Year,Yes,23857.5,182,2091
388396,Male,13,1,35,0,1-2 Year,Yes,29200,182,969
654099,Female,31,1,25,0,1-2 Year,Yes,1315,1092,459
461214,Male,56,1,46,1,1-2 Year,No,21804,182,4114
279692,Female,55,1,15,1,1-2 Year,No,25059.5,868,1717
350846,Female,15,1,50,1,< 1 Year,No,14434.5,1064,1547
401645,Female,16,1,57,0,< 1 Year,Yes,16506,1064,2669
227488,Female,14,1,24,1,< 1 Year,No,17416,1064,2635
220068,Female,30,1,15,1,1-2 Year,No,15238,868,3519
356759,Female,14,1,15,1,< 1 Year,No,12359.5,1120,4131
686315,Male,42,1,35,0,1-2 Year,Yes,12666,182,799
540026,Female,16,1,35,0,1-2 Year,Yes,15794,868,1343
207340,Male,23,1,22,1,< 1 Year,No,1315,1064,4947
612393,Male,33,1,52,0,1-2 Year,Yes,16049,868,782
515135,Male,43,1,53,0,1-2 Year,Yes,14325.5,182,4743
495551,Male,56,1,35,1,1-2 Year,No,37330,182,4284
569017,Male,15,1,53,1,< 1 Year,No,14785,1064,4624
553297,Female,22,1,9,1,< 1 Year,No,9334.5,1064,3740
613040,Female,59,1,35,1,1-2 Year,No,45419,182,4556
441871,Male,50,1,35,0,1-2 Year,Yes,1315,1092,459
373841,Male,70,1,31,0,> 2 Years,Yes,1315,1099,748
284364,Male,33,1,15,0,1-2 Year,Yes,1315,1092,4862
382407,Male,39,1,48,1,1-2 Year,No,23899,84,2006
287737,Female,15,1,22,0,< 1 Year,Yes,13439,1064,3332
349410,Female,39,1,15,0,1-2 Year,Yes,23025.5,868,816
207833,Male,18,1,43,0,< 1 Year,Yes,19615,1064,1989
301751,Female,18,1,16,1,< 1 Year,No,13246.5,1120,1258
221707,Male,32,1,35,0,1-2 Year,Yes,14634.5,182,4080
245322,Male,61,1,27,1,1-2 Year,No,1315,182,1054
360560,Male,37,1,35,0,1-2 Year,Yes,1315,868,1904
382541,Female,17,1,15,1,< 1 Year,No,24918.5,1064,1717
375990,Male,49,1,35,0,> 2 Years,Yes,1315,182,3723
214716,Female,17,1,36,0,1-2 Year,Yes,1315,1092,3111
260838,Male,60,1,35,0,> 2 Years,Yes,17922.5,182,4811
393029,Male,38,1,15,0,1-2 Year,No,17508,182,2312
676954,Female,16,1,48,1,< 1 Year,No,13722.5,1064,2125
426125,Male,39,1,40,1,1-2 Year,No,13088.5,364,5015
516449,Female,56,1,35,0,1-2 Year,Yes,14556.5,854,272
468948,Male,43,1,37,0,1-2 Year,Yes,19336,868,1615
421427,Male,17,1,13,1,< 1 Year,No,24503.5,1064,510
379003,Male,43,1,53,1,1-2 Year,No,10739.5,182,4692
339703,Male,67,1,22,1,1-2 Year,No,1315,182,2703
638080,Female,38,1,20,1,1-2 Year,No,13604,868,2856
236229,Male,39,1,35,1,1-2 Year,Yes,17846,182,3264
427652,Male,45,1,35,1,1-2 Year,No,25240,868,1496
418038,Female,16,1,40,1,< 1 Year,No,15670,1064,442
610373,Male,22,1,48,1,< 1 Year,No,11986,1064,4573
574275,Male,50,1,36,1,1-2 Year,No,1315,868,1717
369976,Male,19,1,36,1,< 1 Year,No,14830,1064,2431
376107,Male,19,1,35,0,1-2 Year,Yes,20792.5,868,3757
214701,Female,14,1,50,1,< 1 Year,Yes,22295,1120,2941
656629,Female,60,1,36,1,1-2 Year,No,18989.5,868,238
230964,Male,18,1,32,0,< 1 Year,No,21134,1064,663
270786,Female,13,1,53,0,< 1 Year,No,12658,1120,1479
270738,Male,50,1,57,0,1-2 Year,Yes,13550,56,544
582425,Male,13,1,41,0,1-2 Year,Yes,1315,1141,2278
708017,Female,50,1,35,0,1-2 Year,Yes,11272,182,4726
520569,Female,19,1,22,0,< 1 Year,No,19252,1064,1700
529562,Female,21,1,37,1,< 1 Year,No,14743,1064,544
466164,Male,19,1,34,0,< 1 Year,Yes,14302,1064,4624
613075,Female,23,1,25,1,< 1 Year,No,12034,1064,4233
278084,Male,48,1,36,1,1-2 Year,No,1315,868,5049
414518,Male,50,1,53,0,1-2 Year,Yes,15448,182,3417
537983,Male,39,1,35,1,1-2 Year,No,19657.5,1029,3604
706342,Female,39,1,35,0,1-2 Year,Yes,27172,182,2295
300764,Male,31,1,35,1,1-2 Year,No,14826.5,182,1275
476457,Male,15,1,40,1,< 1 Year,No,17535.5,1064,4930
370969,Female,20,1,41,1,< 1 Year,No,17194,868,4947
219617,Female,40,1,35,1,1-2 Year,No,17052,868,306
206636,Female,24,1,15,0,< 1 Year,Yes,1315,1120,1683
489507,Male,41,1,15,0,1-2 Year,Yes,25392,868,2006
230135,Female,17,1,35,1,< 1 Year,No,39253,1064,2227
272926,Female,16,1,46,0,< 1 Year,Yes,1315,1064,1649
338986,Female,40,1,25,0,1-2 Year,Yes,1315,210,2771
484153,Male,51,1,15,0,1-2 Year,Yes,24510.5,182,4097
521985,Female,14,1,22,1,< 1 Year,No,18448.5,1120,4743
510012,Male,17,1,15,0,< 1 Year,No,16362,1099,2958
503215,Male,45,1,15,0,1-2 Year,Yes,22845.5,868,4420
421283,Male,41,1,15,0,1-2 Year,Yes,1315,868,969
424388,Female,17,1,15,1,< 1 Year,No,17759,1064,2635
491902,Male,25,1,15,0,< 1 Year,Yes,15417,1064,2380
381721,Male,15,1,42,1,< 1 Year,No,22548.5,1120,3604
213320,Male,14,1,15,0,< 1 Year,Yes,14686.5,1064,4573
247135,Male,45,1,35,0,> 2 Years,Yes,23523,182,1292
432267,Male,42,1,30,0,1-2 Year,Yes,13704.5,868,2176
229021,Female,22,1,48,1,< 1 Year,No,16452.5,1064,2278
488572,Male,46,1,52,1,1-2 Year,No,17561.5,868,1581
672857,Female,15,1,48,1,< 1 Year,No,16954,1064,3791
265085,Male,37,1,15,0,1-2 Year,Yes,15495,182,4556
307072,Female,38,1,35,0,1-2 Year,Yes,14808.5,182,510
270890,Female,29,1,15,0,1-2 Year,Yes,1315,868,2380
605506,Male,60,1,35,1,1-2 Year,No,23963,182,3145
393185,Female,14,1,19,1,< 1 Year,No,11979.5,1064,731
279820,Female,16,1,35,1,< 1 Year,No,17131.5,1064,1360
581211,Male,17,1,36,1,< 1 Year,No,15438,1064,238
345242,Female,36,1,52,0,1-2 Year,Yes,1315,1092,3944
570319,Male,20,1,35,0,< 1 Year,Yes,1315,1057,969
694085,Male,14,1,40,1,< 1 Year,No,17014,1064,2329
657943,Male,19,1,36,1,< 1 Year,No,16852.5,1064,1734
321507,Female,44,1,33,0,1-2 Year,No,16872,868,3757
650263,Female,16,1,32,1,< 1 Year,No,14856.5,1064,4573
531806,Male,34,1,35,1,1-2 Year,No,20421,875,2006
261151,Female,22,1,36,0,1-2 Year,Yes,1315,1099,4930
372950,Female,17,1,35,0,< 1 Year,Yes,27902.5,1064,1360
217766,Male,49,1,39,0,1-2 Year,Yes,1315,182,2499
562702,Female,41,1,15,0,1-2 Year,Yes,23301.5,1078,1717
249566,Male,18,1,10,0,< 1 Year,No,14501.5,1064,238
671996,Male,41,1,15,0,> 2 Years,Yes,13051,182,2958
307405,Male,16,1,53,1,< 1 Year,No,18270,1064,629
549245,Male,15,1,53,1,< 1 Year,No,18845.5,1064,4097
394927,Male,17,1,32,0,< 1 Year,No,11787,1064,4811
317356,Male,36,1,57,0,1-2 Year,No,19012,868,3213
509065,Female,48,1,15,0,1-2 Year,Yes,23701,49,2108
609309,Male,15,1,49,1,< 1 Year,No,1315,1064,1241
552710,Female,58,1,35,1,1-2 Year,No,24102.5,182,3910
359990,Female,41,1,35,0,1-2 Year,Yes,15897.5,182,2465
217191,Female,36,1,26,0,1-2 Year,Yes,17413,854,2737
560445,Male,17,1,15,1,< 1 Year,No,15642.5,1064,1632
211306,Female,34,1,17,0,1-2 Year,Yes,16828.5,1064,697
658358,Female,35,1,48,1,1-2 Year,No,15709,84,3757
499165,Female,45,1,40,0,> 2 Years,Yes,14336,868,3587
488066,Male,30,1,35,0,1-2 Year,Yes,20857,868,2771
346471,Male,39,1,42,0,1-2 Year,Yes,19906.5,182,969
255738,Female,15,1,10,1,< 1 Year,No,1315,1064,2363
284115,Male,33,1,53,1,1-2 Year,No,13663.5,868,1224
276336,Male,34,1,35,1,1-2 Year,No,12295,868,4471
468179,Male,26,1,34,1,1-2 Year,No,14111.5,182,4556
420442,Male,34,1,53,1,1-2 Year,No,9779.5,1092,2108
219299,Male,19,1,15,1,< 1 Year,No,17270.5,1064,3910
411458,Female,26,1,35,0,> 2 Years,Yes,1315,1099,2023
272372,Female,18,1,53,1,< 1 Year,No,13567.5,1064,4811
433849,Female,42,1,37,1,1-2 Year,No,18245,182,3536
396314,Male,35,1,35,0,1-2 Year,Yes,29192.5,868,4505
422717,Female,44,1,48,0,1-2 Year,Yes,19235.5,70,391
269987,Male,38,1,48,0,1-2 Year,Yes,12943.5,868,4828
230191,Male,21,1,13,0,< 1 Year,Yes,10484.5,1064,4641
226195,Female,43,1,37,0,1-2 Year,Yes,17943.5,1120,4284
701674,Female,15,1,15,1,< 1 Year,No,17912,1064,1853
425937,Female,17,1,8,0,< 1 Year,Yes,1315,1064,850
444441,Female,16,1,20,0,< 1 Year,No,11519,1057,3808
332888,Female,20,1,35,0,1-2 Year,Yes,19049,854,1139
324565,Female,17,1,54,1,< 1 Year,No,17556.5,1064,1190
695318,Female,17,1,35,1,< 1 Year,No,14921,1064,408
302716,Male,46,1,43,0,1-2 Year,No,27101.5,182,1292
520262,Male,37,1,25,0,> 2 Years,Yes,10121,868,3774
486486,Male,17,1,56,0,< 1 Year,Yes,12178.5,1057,4097
376664,Male,24,1,18,0,1-2 Year,Yes,15026.5,868,2074
333892,Male,65,1,53,1,1-2 Year,No,18813,182,4505
414608,Male,14,1,14,0,< 1 Year,No,1315,1120,4556
257422,Male,37,1,33,0,1-2 Year,Yes,17317.5,154,4777
237794,Female,42,1,40,0,1-2 Year,Yes,12370.5,868,4148
344519,Male,36,1,43,0,1-2 Year,Yes,17708,868,1088
566966,Female,14,1,16,0,< 1 Year,Yes,18849.5,1120,5015
290559,Male,39,1,15,0,1-2 Year,Yes,16947,182,2822
296219,Female,14,1,33,0,< 1 Year,Yes,12094,1064,4199
608873,Male,61,1,15,1,1-2 Year,No,16935.5,133,1071
351492,Female,46,1,35,0,1-2 Year,Yes,22827.5,182,884
430784,Female,34,1,40,0,1-2 Year,Yes,15609.5,854,544
636959,Male,16,1,37,1,< 1 Year,No,12274,1064,493
650672,Female,26,1,15,0,< 1 Year,Yes,19412,868,1377
612445,Female,25,1,15,0,1-2 Year,Yes,22432,868,3910
289260,Male,52,1,35,0,> 2 Years,Yes,16485.5,182,1275
276522,Female,39,1,35,0,1-2 Year,Yes,28322,385,2686
482189,Female,16,1,57,1,< 1 Year,No,12945,1064,3944
227670,Female,19,1,15,1,< 1 Year,No,14110.5,1064,1853
549523,Male,38,1,52,1,1-2 Year,No,17027,868,3876
210946,Male,20,1,44,1,< 1 Year,No,14413.5,1064,3587
640474,Female,17,1,35,1,< 1 Year,No,1315,1064,2941
277757,Female,70,1,35,1,1-2 Year,No,23753,868,1904
292828,Male,17,1,13,0,< 1 Year,No,15724.5,1064,1122
206681,Female,38,1,35,0,1-2 Year,Yes,19972,854,4998
297160,Male,49,1,37,0,1-2 Year,Yes,18422,868,2006
435712,Female,46,1,15,0,1-2 Year,Yes,1315,1099,4046
624325,Male,24,1,35,0,< 1 Year,Yes,21591,868,1479
352502,Female,63,1,15,1,1-2 Year,No,14430.5,868,4403
421875,Male,24,1,15,1,< 1 Year,No,26668.5,1064,3995
525007,Male,36,1,10,0,1-2 Year,Yes,12921,1078,4165
309386,Female,38,1,57,1,1-2 Year,No,14376.5,56,5083
653415,Female,18,1,10,1,< 1 Year,No,12405,1064,2108
308457,Male,42,1,15,1,1-2 Year,No,18013,868,3740
210261,Female,48,1,55,0,1-2 Year,Yes,1315,182,4896
363263,Male,15,1,18,0,< 1 Year,Yes,13689.5,1064,731
245652,Male,52,1,35,0,> 2 Years,Yes,16720,182,4913
496485,Female,22,1,43,1,< 1 Year,No,14216.5,1064,1751
548556,Male,30,1,35,0,1-2 Year,Yes,23193,868,4352
338878,Male,38,1,35,0,1-2 Year,Yes,24644,182,2703
388550,Female,18,1,29,1,< 1 Year,No,13522.5,1064,629
211299,Female,33,1,35,0,1-2 Year,Yes,40829.5,868,255
638039,Female,35,1,35,0,1-2 Year,Yes,16875,182,357
261775,Male,69,1,35,0,1-2 Year,Yes,26508.5,854,1989
627728,Female,17,1,9,1,< 1 Year,No,9919.5,1057,2720
308033,Female,18,1,48,1,< 1 Year,No,16184,1064,238
367271,Male,18,1,15,1,< 1 Year,No,17964.5,1064,3587
695058,Female,28,1,48,1,1-2 Year,No,17373,1071,3400
421189,Male,22,1,35,0,< 1 Year,Yes,21065.5,1064,2924
334124,Female,15,1,12,1,< 1 Year,No,15455.5,1064,4029
389837,Male,61,1,35,0,1-2 Year,Yes,17418.5,868,4301
333354,Male,44,1,15,0,1-2 Year,Yes,1315,182,4947
678949,Female,16,1,53,1,< 1 Year,No,15412,1064,3230
523037,Female,15,1,36,1,< 1 Year,No,19356,1064,2822
486858,Male,32,1,10,0,1-2 Year,Yes,8877,868,4250
521919,Male,24,1,22,1,< 1 Year,No,21661.5,868,3009
288367,Female,34,1,35,0,1-2 Year,Yes,28145,182,3400
582737,Male,52,1,35,1,1-2 Year,No,18171,868,2924
320586,Female,20,1,37,1,< 1 Year,No,15049,1064,3485
432428,Male,18,1,48,1,< 1 Year,No,1315,1064,1785
258472,Female,23,1,13,1,< 1 Year,No,1315,1064,3264
452793,Female,45,1,13,1,1-2 Year,No,13145,210,4471
551992,Male,20,1,48,1,< 1 Year,No,6785.5,1064,4403
348730,Male,50,1,40,1,1-2 Year,No,17681,182,663
644299,Male,34,1,15,0,1-2 Year,Yes,19053.5,1099,2618
499816,Female,65,1,35,1,1-2 Year,No,19385,182,3502
559976,Female,41,1,15,0,1-2 Year,Yes,18586,133,3043
441774,Female,22,1,9,1,< 1 Year,No,12979,1064,4454
270928,Male,21,1,35,0,< 1 Year,Yes,12148.5,1064,2159
396075,Male,45,1,35,0,1-2 Year,Yes,17617.5,427,4233
231761,Male,28,1,53,1,1-2 Year,No,8799.5,1064,3230
596767,Female,29,1,54,0,1-2 Year,Yes,1315,1092,4335
438039,Male,37,1,53,0,1-2 Year,Yes,1315,1092,2941
423410,Female,45,1,48,0,1-2 Year,Yes,1315,84,2737
465520,Male,23,1,10,1,< 1 Year,Yes,13221,1064,4590
319470,Male,47,1,15,0,1-2 Year,Yes,1315,868,4947
328364,Male,16,1,30,0,1-2 Year,No,1315,868,2125
252175,Male,18,1,50,1,< 1 Year,No,19341.5,1064,1530
577465,Female,16,1,10,1,< 1 Year,Yes,19009.5,1057,4318
542725,Female,55,1,54,1,1-2 Year,No,16081.5,868,3298
415330,Male,72,1,53,0,1-2 Year,No,14444.5,147,2669
411065,Female,21,1,37,1,< 1 Year,No,11889.5,1064,1139
391607,Female,17,1,16,0,< 1 Year,No,21848,1064,4114
391425,Male,15,1,37,1,< 1 Year,No,17478.5,1064,2295
259393,Male,20,1,35,1,< 1 Year,No,17215,1064,459
378594,Male,19,1,23,0,< 1 Year,Yes,13212.5,182,4148
555815,Male,47,1,35,0,1-2 Year,Yes,24404,868,1411
440600,Male,19,1,16,1,< 1 Year,No,18497.5,1064,3570
324548,Male,52,1,22,1,1-2 Year,No,1315,868,1513
283302,Male,28,1,52,0,1-2 Year,Yes,12288,1078,2635
380546,Male,15,1,10,1,< 1 Year,No,9864,1064,3281
243062,Male,35,1,57,0,> 2 Years,Yes,19586,175,204
292845,Male,26,1,35,0,1-2 Year,Yes,17450,1099,2125
217141,Male,36,1,35,0,1-2 Year,Yes,1315,868,3383
483472,Male,40,1,36,0,1-2 Year,Yes,13436.5,182,2856
251038,Female,14,1,15,0,< 1 Year,Yes,22177,1120,3264
493529,Male,61,1,44,0,1-2 Year,Yes,11452.5,21,2227
531117,Female,18,1,15,1,< 1 Year,No,1315,1064,4437
557062,Female,32,1,35,0,1-2 Year,No,16301.5,854,4471
301305,Male,17,1,15,1,< 1 Year,No,17353,1064,2448
370174,Male,42,1,55,0,1-2 Year,Yes,1315,21,4437
347100,Male,39,1,35,1,1-2 Year,No,14727,868,3621
375397,Female,33,1,35,0,1-2 Year,Yes,21355.5,91,374
312483,Male,18,1,24,1,< 1 Year,No,16055,1064,1955
413050,Male,32,1,57,1,1-2 Year,No,15737.5,868,4046
